10,5,3,2,60,64,65.5
1,1,1,3,68,72,73.5
4,2,4,3,76,80,81.5
5,3,3,2,84,88,89.5
6,3,2,6,92,96,97.5
8,4,4,6,100,104,105.5
3,2,3,5,108,112,113.5
2,1,2,4,116,120,121.5
12,6,4,5,124,128,129.5
7,4,1,1,132,136,137.5
11,6,2,4,140,144,145.5
9,5,1,1,148,152,153.5
3,5,4,5,216,220,221.5
12,1,1,5,224,228,229.5
2,6,3,4,232,236,237.5
1,4,2,3,240,244,245.5
9,2,4,1,248,252,253.5
7,1,3,1,256,260,261.5
11,3,4,4,264,268,269.5
4,3,3,3,272,276,277.5
5,6,2,2,280,284,285.5
8,5,2,6,288,292,293.5
10,4,1,2,296,300,301.5
6,2,1,6,304,308,309.5
5,3,2,2,372,376,377.5
8,4,2,6,380,384,385.5
6,3,1,6,388,392,393.5
2,1,3,4,396,400,401.5
3,2,4,5,404,408,409.5
11,6,4,4,412,416,417.5
10,5,1,2,420,424,425.5
7,4,3,1,428,432,433.5
9,5,4,1,436,440,441.5
4,2,3,3,444,448,449.5
1,1,2,3,452,456,457.5
12,6,1,5,460,464,465.5
11,3,2,4,528,532,533.5
7,1,1,1,536,540,541.5
9,2,1,1,544,548,549.5
4,3,4,3,552,556,557.5
10,4,3,2,560,564,565.5
12,1,4,5,568,572,573.5
6,2,2,6,576,580,581.5
1,4,1,3,584,588,589.5
8,5,4,6,592,596,597.5
3,5,3,5,600,604,605.5
2,6,2,4,608,612,613.5
5,6,3,2,616,620,621.5
1,1,2,3,60,64,65.5
6,3,1,6,68,72,73.5
12,6,1,5,76,80,81.5
11,6,4,4,84,88,89.5
5,3,2,2,92,96,97.5
4,2,3,3,100,104,105.5
2,1,3,4,108,112,113.5
8,4,2,6,116,120,121.5
10,5,1,2,124,128,129.5
9,5,4,1,132,136,137.5
7,4,3,1,140,144,145.5
3,2,4,5,148,152,153.5
8,5,4,6,216,220,221.5
11,3,2,4,224,228,229.5
3,5,3,5,232,236,237.5
6,2,2,6,240,244,245.5
7,1,1,1,248,252,253.5
1,4,1,3,256,260,261.5
5,6,3,2,264,268,269.5
9,2,1,1,272,276,277.5
4,3,4,3,280,284,285.5
2,6,2,4,288,292,293.5
12,1,4,5,296,300,301.5
10,4,3,2,304,308,309.5
2,6,3,4,372,376,377.5
10,4,1,2,380,384,385.5
7,1,3,1,388,392,393.5
3,5,4,5,396,400,401.5
8,5,2,6,404,408,409.5
9,2,4,1,412,416,417.5
12,1,1,5,420,424,425.5
6,2,1,6,428,432,433.5
1,4,2,3,436,440,441.5
5,6,2,2,444,448,449.5
4,3,3,3,452,456,457.5
11,3,4,4,460,464,465.5
4,2,4,3,528,532,533.5
9,5,1,1,536,540,541.5
5,3,3,2,544,548,549.5
12,6,4,5,552,556,557.5
2,1,2,4,560,564,565.5
10,5,3,2,568,572,573.5
7,4,1,1,576,580,581.5
3,2,3,5,584,588,589.5
11,6,2,4,592,596,597.5
1,1,1,3,600,604,605.5
6,3,2,6,608,612,613.5
8,4,4,6,616,620,621.5
