id,word
1,数值
2,宿舍
3,崇高
4,对付
5,交易
6,口气
7,独自
8,边缘
9,注视
10,舒服
11,含义
12,剧烈
13,实力
14,得意
15,字母
16,随便
17,侵犯
18,有益
19,货物
20,友好
21,比赛
22,系数
23,笑容
24,英勇
25,富裕
26,平常
27,水汽
28,代谢
29,熟练
30,完善
31,兴起
32,开花
33,干燥
34,妨碍
35,透过
36,吸取
37,理智
38,意象
39,肥料
40,纪念
41,抵抗
42,预备
43,改良
44,单一
45,争夺
46,审查
47,高潮
48,功率
49,输入
50,当局
51,演变
52,明亮
53,寂寞
54,歌曲
55,潜力
56,不满
57,信任
58,乐器
59,主力
60,古典
61,扩展
62,赤道
63,实践
64,提前
65,理性
66,欢乐
67,勉强
68,收拾
69,鸟类
70,整齐
71,脂肪
72,申请
73,迷信
74,可怕
75,士兵
76,减弱
77,流传
78,抬头
79,敏感
80,推进
81,偶然
82,残酷
83,命题
84,补偿
85,工会
86,诗歌
87,宝贵
88,清醒
89,美感
90,安静
91,汇报
92,冲击
93,战术
94,片面
95,公布
1b,数目
2b,寝室
3b,伟大
4b,应对
5b,买卖
6b,语气
7b,只身
8b,边界
9b,关心
10b,舒畅
11b,内涵
12b,激烈
13b,能力
14b,满意
15b,字符
16b,任意
17b,侵害
18b,有利
19b,商品
20b,友善
21b,竞赛
22b,因数
23b,笑颜
24b,凶猛
25b,富足
26b,普通
27b,蒸汽
28b,交替
29b,精通
30b,完备
31b,崛起
32b,开放
33b,干爽
34b,阻碍
35b,穿越
36b,汲取
37b,心智
38b,意境
39b,化肥
40b,悼念
41b,反抗
42b,筹备
43b,优化
44b,唯独
45b,拼抢
